state_code,state_name,inset_group,direct_anchor_count,national_context_count,combined_count,priority,needs_direct_anchor
AL,Alabama,main,2,9,10,low,no
AK,Alaska,alaska,2,9,10,low,no
AZ,Arizona,main,2,9,10,low,no
AR,Arkansas,main,2,9,9,low,no
CA,California,main,2,9,10,low,no
CO,Colorado,main,2,9,10,low,no
CT,Connecticut,main,2,9,10,low,no
DE,Delaware,main,2,9,10,low,no
FL,Florida,main,3,9,11,low,no
GA,Georgia,main,2,9,10,low,no
HI,Hawaii,hawaii,2,9,10,low,no
ID,Idaho,main,2,9,10,low,no
IL,Illinois,main,2,9,10,low,no
IN,Indiana,main,2,9,10,low,no
IA,Iowa,main,2,9,9,low,no
KS,Kansas,main,2,9,10,low,no
KY,Kentucky,main,2,9,10,low,no
LA,Louisiana,main,2,9,10,low,no
ME,Maine,main,2,9,10,low,no
MD,Maryland,main,2,9,10,low,no
MA,Massachusetts,main,2,9,10,low,no
MI,Michigan,main,2,9,10,low,no
MN,Minnesota,main,2,9,10,low,no
MS,Mississippi,main,3,9,11,low,no
MO,Missouri,main,2,9,10,low,no
MT,Montana,main,2,9,10,low,no
NE,Nebraska,main,2,9,10,low,no
NV,Nevada,main,2,9,10,low,no
NH,New Hampshire,main,2,9,10,low,no
NJ,New Jersey,main,2,9,10,low,no
NM,New Mexico,main,2,9,10,low,no
NY,New York,main,3,9,10,low,no
NC,North Carolina,main,2,9,10,low,no
ND,North Dakota,main,2,9,10,low,no
OH,Ohio,main,2,9,10,low,no
OK,Oklahoma,main,2,9,10,low,no
OR,Oregon,main,2,9,10,low,no
PA,Pennsylvania,main,2,9,10,low,no
RI,Rhode Island,main,2,9,10,low,no
SC,South Carolina,main,2,9,10,low,no
SD,South Dakota,main,2,9,10,low,no
TN,Tennessee,main,2,9,10,low,no
TX,Texas,main,4,9,11,low,no
UT,Utah,main,2,9,10,low,no
VT,Vermont,main,2,9,10,low,no
VA,Virginia,main,2,9,10,low,no
WA,Washington,main,2,9,9,low,no
WV,West Virginia,main,2,9,10,low,no
WI,Wisconsin,main,2,9,10,low,no
WY,Wyoming,main,2,9,10,low,no
