record_id,state_code,state_name,year,indicator_id,value_numeric,value_text,unit_label,source_system,source_dataset,source_release_id,source_url,source_row_id,quality_flag,comparability_flag,notes
AK_2010_ACS_POVERTY_RATE,AK,Alaska,2010,frpl_eligible_rate,9.9000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2010_S1701_2026-05-06,"https://api.census.gov/data/2010/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2010:S1701:02,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AK_2011_ACS_POVERTY_RATE,AK,Alaska,2011,frpl_eligible_rate,10.5000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2011_S1701_2026-05-06,"https://api.census.gov/data/2011/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2011:S1701:02,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AK_2012_ACS_POVERTY_RATE,AK,Alaska,2012,frpl_eligible_rate,10.1000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2012_S1701_2026-05-06,"https://api.census.gov/data/2012/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2012:S1701:02,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AK_2013_ACS_POVERTY_RATE,AK,Alaska,2013,frpl_eligible_rate,9.3000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2013_S1701_2026-05-06,"https://api.census.gov/data/2013/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2013:S1701:02,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AK_2014_ACS_POVERTY_RATE,AK,Alaska,2014,frpl_eligible_rate,11.2000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2014_S1701_2026-05-06,"https://api.census.gov/data/2014/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2014:S1701:02,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AK_2015_ACS_POVERTY_RATE,AK,Alaska,2015,frpl_eligible_rate,10.3000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2015_S1701_2026-05-06,"https://api.census.gov/data/2015/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2015:S1701:02,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AK_2016_ACS_POVERTY_RATE,AK,Alaska,2016,frpl_eligible_rate,9.9000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2016_S1701_2026-05-06,"https://api.census.gov/data/2016/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2016:S1701:02,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AK_2017_ACS_POVERTY_RATE,AK,Alaska,2017,frpl_eligible_rate,11.1000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2017_S1701_2026-05-06,"https://api.census.gov/data/2017/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2017:S1701:02,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AK_2018_ACS_POVERTY_RATE,AK,Alaska,2018,frpl_eligible_rate,10.9000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2018_S1701_2026-05-06,"https://api.census.gov/data/2018/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2018:S1701:02,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AK_2019_ACS_POVERTY_RATE,AK,Alaska,2019,frpl_eligible_rate,10.1000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2019_S1701_2026-05-06,"https://api.census.gov/data/2019/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2019:S1701:02,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
